Bucket_ID,Pillar,Bucket_Name,Current_Owner_Primary,Current_Owner_Secondary,Owner_Type,Flags,A_Owner_Notes,Notes
1,Purchasing,Supplier Sourcing & Qualification,Procurement Manager,,Single,Boundary; Gap,,Minimal effort currently expended towards supplier qualification; central governance of part qualification lacking
2,Purchasing,Material Qualification & Requirements Management,Plant Quality,Procurement Manager,Shared,Boundary; Duplication; WrongFunction; UnclearOwnership; Gap,Unclear ownership at corporate level,Supplier PPAP; requirements flow-down; incoming inspection; inconsistencies between MEX + USA
3,Purchasing,Strategic Sourcing & Contract Management,Procurement Manager,,Single,Gap,,Sourcing; negotiation; cost accountability; relationship management
4,Purchasing,Supplier Performance Management,Procurement Manager,Plant Quality,Shared,Boundary; Duplication; Gap,Minimal quality involvement currently; most activity driven by corporate purchasing; differences between USA + MEX (more quality involvement in MEX),Supplier scorecards; Corrective Actions; Audits; Supplier Development; duplicate systems between USA + MEX
5,Purchasing,Tactical Purchasing / Order Execution,Procurement Manager,Planners at plants (direct only),Shared,Duplication; Gap,Recently shifted from centralized to decentralized on direct; Currently centralized on indirect but working towards decentralization,Clarification: For direct materials this would be scheduling a release; For indirect materials this would be placing an order for a one-off/low dollar or for something where contract pricing is already established.
6,Purchasing,Supply Chain Risk Compliance & Requirements Flow-Down,Procurement Manager,,Single,Boundary; ExcessCoordination; Duplication; Gap,,Customer-specific requirement cascading; sustainability reporting; supplier risk management; business continuity and contingency planning; crisis/disruption response; tariff and regulatory impact management. Not sure this one belongs on here but this is a big unknown work bucket currently neglected. 
7,Purchasing,Cost Administration & Transparency,Procurement Manager,,Single,Boundary; Duplication; ExcessCoordination; WrongFunction,Not sure that this belongs as a whole work bucket but this is largely how it's organized today with primary ownership in purchasing; think this should be owned by finance with sub-processes owned by purchasing and sales,Management of standard cost; systems and data management for costs and cost impacts; Communication with sales; oversight of transparency process; discrepancy resolution with AP
8,Purchasing,Quoting & Estimating New Business,Procurement Manager,Estimating Department,Shared,Boundary; ExcessCoordination; Duplication,Ownership unclear; sometimes handled by estimating department; sometimes handled by purchasing,Quoting and estimating materials TCO for new business
9,Logistics,Freight Management (Inbound & Outbound),Logistics Manager,Plant Warehouse Teams,Shared,,,Expedites / escalations; corporate governance; daily execution at the plants
10,Logistics,Trade Compliance,Logistics Manager,Customs Manager (Mexico),Shared,Duplication; UnclearOwnership,Logistics Manager USA; Customs Manager Mexico. Overall ownership unclear.,
11,Logistics,Warehouse / Shipping / Receiving Operations,Plant Warehouse Teams,Logistics Manager,Shared,Boundary; UnclearOwnership; WrongFunction,Physical shipping/receiving/warehouse should continue to be owned by Ops but future vision is for Logistics Manager to have corporate governance over the process,Warehouse includes 3rd party warehouse agreements
12,Planning & Inventory,Demand Translation & MRP Management,Plant Planners,VP Supply Chain,Shared,UnclearOwnership; Duplication; ExcessCoordination; WrongFunction,Recently shifted from centralized to decentralized,Still lacking corporate governance - Metrics; Standardization; Tools; parameters
13,Planning & Inventory,Inventory Policy & Optimization,VP Supply Chain,,Single,ExcessCoordination; WrongFunction,Poor ownership currently; opportunity for clarity,
14,Planning & Inventory,Material Availability Management,Plant Planners,Procurement Manager,Shared,Boundary; WrongFunction,Planners ensure releases support schedule and customer requirements; Purchasing supports escalations / gaps / expedites, 
15,Planning & Inventory,Inventory Integrity & Control,VP Supply Chain,Plant Warehouse Teams,Shared,UnclearOwnership; WrongFunction,Poor ownership currently; need better corporate governance,Physical inventory; cycle counting; inventory control; inventory accuracy
16,Customer Service,Order Management,Plant Customer Service,Customer Operations,Shared,Duplication; UnclearOwnership,Customer operations (USA); Plant Customer Service (MEX); Customer operations reports to sales; plant customer service reports to Supply Chain in Mexico and Plants in USA,Receiving and processing customer releases/forecasts; managing EDI transactions; converting customer demand into scheduling systems; maintaining customer portals
17,Customer Service,Shipping & Delivery Execution,Plant Customer Service,,Single,UnclearOwnership,Plant customer service reports to Supply Chain in Mexico and Plants in USA,Pull sheet/picklist generation; packing lists; ASN generation; managing returnable packaging
18,Customer Service,Customer Communication & Issue Resolution,Plant Customer Service,Customer Operations,Shared,Duplication; ExcessCoordination,Customer operations (USA); Plant Customer Service (MEX); Customer operations reports to sales; plant customer service reports to Supply Chain in Mexico and Plants in USA,Responding to delivery inquiries; managing past-due situations & coordinating recovery plans
19,Cross / VP-Level,Supply Chain Data / Systems & Reporting,VP Supply Chain,IT Group,Shared,Boundary; Duplication; UnclearOwnership; WrongFunction; Gap,Have shifted much reporting to IT with Matt Lehman but much remains,MRP; Schedule; Supplier Scorecards; CCN Database; EDI Utilities; Various other tools & reports developed in Supply Chain require support
20,Cross / VP-Level,Item Configuration / Raw Material Setup,VP Supply Chain,,Single,Boundary; Duplication; UnclearOwnership; WrongFunction; Gap,The process is in our Engineering site but Engineering only recently came to know of its existence; Program Management is primary initiator/customer,Not sure this warrants its own row but it's a waste area / gap now with unclear ownership

